prodgroup3,dlcp,sdd_sequence,operation,wip,yield,shipout,commit1,commit2,qtg1,qtg2,qps1,qps2,stg1,stg2
ARLR816L,FF,180,9668,3.132,1.0,127.468,262.311,268.669,-21.428,261.262,-8.571,15.834,2.5,16.5
ARLR816L,FF,190,2150,0.0,1.0,127.468,262.311,268.669,-21.428,261.262,-7.389,15.459,2.9,16.9
ARLR816L,FF,200,2090,17.245,1.0,127.468,262.311,268.669,-4.183,278.507,-1.307,16.192,3.2,17.2
ARLR816L,FF,210,1264,0.0,1.0,127.468,262.311,268.669,-4.183,278.507,-1.268,16.099,3.3,17.3
ARLR816L,FF,220,1501,1.568,1.0,127.468,262.311,268.669,-2.615,280.075,-0.769,16.096,3.4,17.4
ARLR816L,FF,230,2977,1.565,1.0,127.468,262.311,268.669,-1.05,281.64,-0.309,16.186,3.4,17.4
ARLR816L,FF,240,1366,6.268,1.0,127.468,262.311,268.669,5.218,287.908,1.373,16.175,3.8,17.8
ARLR816L,FF,250,2978,0.0,1.0,127.468,262.311,268.669,5.218,287.908,1.338,16.084,3.9,17.9
ARLR816L,FF,260,4992,4.702,1.0,127.468,262.311,268.669,9.92,292.61,2.544,16.347,3.9,17.9
ARLR816L,FF,270,265,3.136,1.0,127.468,262.311,268.669,13.056,295.746,3.184,16.34,4.1,18.1
ARLR816L,FF,280,2172,3.136,1.0,127.468,262.311,268.669,16.192,298.882,3.68,16.244,4.4,18.4
ARLR816L,FF,290,4513,0.0,1.0,127.468,262.311,268.669,16.192,298.882,3.598,16.156,4.5,18.5
ARLR816L,FF,300,5001,0.0,1.0,127.468,262.311,268.669,16.192,298.882,3.598,16.156,4.5,18.5
ARLR816L,FF,310,11,0.0,1.0,127.468,262.311,268.669,16.192,298.882,3.52,16.069,4.6,18.6
ARLR816L,FF,320,7652,7.839,1.0,127.468,262.311,268.669,24.031,306.721,3.814,15.109,6.3,20.3
ARLR816L,FF,330,7820,23.499,1.0,127.468,262.311,268.669,47.53,330.22,7.544,16.267,6.3,20.3
ARLR816L,FF,340,7821,0.0,1.0,127.468,262.311,268.669,47.53,330.22,7.544,16.267,6.3,20.3
ARLR816L,FF,350,7827,0.0,1.0,127.468,262.311,268.669,47.53,330.22,7.544,16.267,6.3,20.3
ARLR816L,FF,360,7060,2.909,1.0,127.468,262.311,268.669,50.439,333.129,8.006,16.41,6.3,20.3
ARLR816L,FF,370,8585,0.0,1.0,127.468,262.311,268.669,50.439,333.129,7.881,16.33,6.4,20.4
ARLR816L,FF,380,8785,0.0,1.0,127.468,262.311,268.669,50.439,333.129,7.881,16.33,6.4,20.4
ARLR816L,FF,390,8780,0.0,1.0,127.468,262.311,268.669,50.439,333.129,7.881,16.33,6.4,20.4
ARLR816L,FF,400,8832,0.0,1.0,127.468,262.311,268.669,50.439,333.129,7.76,16.25,6.5,20.5
ARLR816L,FF,410,7571,15.162,0.96,127.468,262.311,268.669,65.601,348.291,9.647,16.745,6.8,20.8
ARLR816L,FF,420,7200,0.002,1.0,127.468,262.311,268.669,62.979,334.362,8.997,15.922,7.0,21.0
ARLR816L,FF,430,3777,0.0,1.0,127.468,262.311,268.669,62.979,334.362,8.997,15.922,7.0,21.0
ARLR816L,FF,440,7290,18.073,1.0,127.468,262.311,268.669,81.052,352.435,11.579,16.783,7.0,21.0
ARLR816L,FF,450,488,0.0,1.0,127.468,262.311,268.669,81.052,352.435,11.579,16.783,7.0,21.0
ARLR816L,FF,460,5006,0.0,1.0,127.468,262.311,268.669,81.052,352.435,11.579,16.783,7.0,21.0
