TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,ARLR816L,110,1430,HTS-US,,,,1.0,0.0,IncomingWIP,5.833,,0.0
UNIT,ARLR816L,120,1237,CSAM,,,,0.0,0.0,IncomingWIP,5.347,,0.0
UNIT,ARLR816L,130,2237,CSAM,,,,2.0,0.0,IncomingWIP,5.347,,0.0
UNIT,ARLR816L,140,5653,JEDEC-TPR1,,67.02,100.0,4.0,0.0,IncomingWIP,4.456,,0.0
UNIT,ARLR816L,150,2171,TACS2,,19.64,100.0,2.0,0.0,IncomingWIP,2.971,,0.0
UNIT,ARLR816L,160,2151,JLP2ERGO1,,,,2.0,0.0,IncomingWIP,2.476,,0.0
UNIT,ARLR816L,170,9668,PEVI-1T2T,,,,4.0,3.136,IncomingWIP,5.199,,0.0
UNIT,ARLR816L,180,2150,ERGO2JLP1,,,,4.0,0.0,IncomingWIP,3.466,,0.0
UNIT,ARLR816L,200,1264,IHSAA,,,,1.0,0.0,IncomingWIP,2.311,,0.0
UNIT,ARLR816L,210,1501,JEDEC-TPT1,,70.17,100.0,1.0,0.0,IncomingWIP,2.118,,0.0
UNIT,ARLR816L,220,2977,HPO-HTS5,,,,4.0,0.0,IncomingWIP,1.941,,0.0
UNIT,ARLR816L,230,1366,DLA-HPO,,7.33,100.0,1.0,3.136,IncomingWIP,4.43,,0.0
UNIT,ARLR816L,240,2978,HPO-HTS6,,,,1.0,0.0,IncomingWIP,4.061,,0.0
UNIT,ARLR816L,250,4992,JEDEC-TPT2,,63.82,100.0,2.0,0.0,IncomingWIP,3.723,,0.0
UNIT,ARLR816L,260,265,2D-XRAY,,48.95,100.0,4.0,0.0,IncomingWIP,3.102,,0.0
UNIT,ARLR816L,270,2172,TACS3,,19.64,100.0,1.0,0.0,IncomingWIP,2.068,,0.0
UNIT,ARLS681,20,1204,DIETCB,,13.8,100.0,2.0,8.299,LoadingPlan_no_goal,0.0,,0.0
UNIT,ARLS681,30,5651,JEDEC-TPP1,,67.37,100.0,1.46,1.204,CleanWIP,1.204,,0.0
UNIT,ARLS681,40,2004,JDFLX,,74.3,100.0,1.28,2.94,IncomingWIP,3.998,,0.0
UNIT,ARLS681,50,1225,EYUF,,15.19,100.0,4.39,7.347,IncomingWIP,7.0,,0.0
UNIT,ARLS681,60,1987,HPO-HTS1,,,,1.18,10.29,IncomingWIP,14.729,,0.0
UNIT,ARLS681,70,2135,HPO-CURE,,12.57,100.0,2.03,1.47,IncomingWIP,7.0,,0.0
UNIT,ARLS681,80,730,HPO-HTS2,,,,0.16,0.0,IncomingWIP,5.816,,0.0
UNIT,ARLS681,90,1429,HTS-ST,,,,0.24,0.0,IncomingWIP,5.738,,0.0
UNIT,ARLS681,100,970,FLI-BLUE-M,,15.25,100.0,3.19,1.47,IncomingWIP,7.0,,0.0
UNIT,ARLS681,110,1430,HTS-US,,,,0.16,0.0,IncomingWIP,5.139,,0.0
UNIT,ARLS681,120,1237,CSAM,,,,0.0,0.0,IncomingWIP,5.07,,0.0
UNIT,ARLS681,130,2237,CSAM,,,,0.0,0.0,IncomingWIP,5.07,,0.0
